PRICE,BEDS,BATH,PROPERTYSQFT,neighborhood,PRICE_PER_SQFT
315000,2,2.0,1400.0,257,225.0
260000,4,2.0,2015.0,244,129.03225806451613
69000,3,1.0,445.0,257,155.0561797752809
690000,5,2.0,4004.0,249,172.32767232767233
899500,2,2.0,2184.207862,226,411.8197794491777
265000,1,1.0,750.0,199,353.3333333333333
440000,2,1.0,978.0,168,449.89775051124747
375000,2,1.0,850.0,62,441.1764705882353
689000,3,2.3738608579684373,1162.0,99,592.9432013769364
259000,3,1.0,2184.207862,78,118.57845789587218
430000,2,2.0,2184.207862,110,196.8677100201739
895000,3,1.0,2184.207862,285,409.75953597222235
549000,2,2.0,1000.0,272,549.0
975000,3,2.0,1734.0,152,562.2837370242214
199000,3,1.0,325.0,123,612.3076923076923
350000,1,1.0,700.0,43,500.0
599000,2,2.0,974.0,57,614.9897330595483
639999,3,2.0,1260.0,134,507.9357142857143
1300000,2,2.0,1244.0,71,1045.016077170418
1100000,6,3.0,2837.0,145,387.73352132534365
349900,1,1.0,651.0,232,537.4807987711214
750000,2,2.0,1330.0,246,563.9097744360902
1690000,6,4.0,2200.0,30,768.1818181818181
325000,1,1.0,2184.207862,78,148.79536222455002
2250000,12,2.3738608579684373,5670.0,167,396.8253968253968
230000,1,1.0,2184.207862,78,105.30133326660463
1299888,10,6.0,3156.0,122,411.8783269961977
925000,5,2.0,2750.0,145,336.3636363636364
329000,1,2.0,794.0,99,414.35768261964733
1300000,10,8.0,5040.0,109,257.93650793650795
848000,5,4.0,2080.0,126,407.6923076923077
279000,1,1.0,750.0,168,372.0
528000,1,1.0,602.0,248,877.0764119601329
1299888,11,4.0,3156.0,122,411.8783269961977
275000,1,1.0,2184.207862,187,125.90376803615771
1165000,1,1.0,815.0,275,1429.4478527607362
1199000,6,5.0,3290.0,246,364.4376899696049
700000,6,2.0,3053.0,186,229.28267278087128
2150000,8,4.0,3200.0,248,671.875
1280000,7,5.0,2460.0,150,520.3252032520326
199900,1,1.0,2184.207862,9,91.52059356519246
369000,2,1.0,2184.207862,187,168.93996511033527
699000,4,3.0,1591.0,153,439.3463230672533
4250000,3,2.0,2400.0,306,1770.8333333333333
825000,2,2.0,2184.207862,255,377.71130410847314
329000,2,1.0,837.0,146,393.0704898446834
889000,2,2.0,1520.0,134,584.8684210526316
769000,2,2.0,2184.207862,176,352.07271861747375
1200000,4,2.0,2536.0,240,473.18611987381706
220500,2,1.0,900.0,105,245.0
1999000,3,3.0,2739.0,147,729.8284045271997
3250000,2,2.0,1300.0,303,2500.0
1650000,2,2.0,1267.0,280,1302.2888713496448
1049000,4,4.0,2554.0,246,410.72826938136257
998800,3,4.0,2400.0,234,416.1666666666667
998800,3,4.0,2400.0,234,416.1666666666667
3150000,3,2.0,1952.0,291,1613.7295081967213
849000,1,1.0,2184.207862,273,388.69926931890143
559500,1,1.0,800.0,100,699.375
750000,1,1.0,835.0,284,898.2035928143713
1900000,2,2.0,1029.0,283,1846.45286686103
1250000,2,2.0,1201.0,259,1040.7993338884264
1395000,2,2.0,1182.0,233,1180.2030456852792
198000,1,1.0,2184.207862,150,90.65071298603355
619888,3,2.0,1400.0,89,442.77714285714285
1489000,6,2.3738608579684373,3780.0,161,393.9153439153439
1595000,3,3.0,1413.0,268,1128.8039631988677
655000,3,2.0,803.0,266,815.6911581569116
1175000,2,2.0,1115.0,268,1053.8116591928251
2880000,9,2.3738608579684373,2350.0,263,1225.531914893617
798000,3,4.0,2150.0,181,371.16279069767444
1685000,3,2.3738608579684373,2184.207862,261,771.4467241488209
2550000,3,2.3738608579684373,2184.207862,100,1167.471303608008
119000,3,2.3738608579684373,2184.207862,154,54.4819941683737
269000,5,2.0,2184.207862,229,123.15677673355063
1650000,2,2.0,1065.0,284,1549.2957746478874
1650000,2,2.0,1065.0,284,1549.2957746478874
12950000,5,4.0,3344.0,285,3872.6076555023924
5750000,3,2.0,2223.0,290,2586.5946918578497
250000,5,2.0,2184.207862,157,114.45797094196156
950000,6,2.3738608579684373,3384.0,229,280.73286052009456
585000,3,2.0,1100.0,114,531.8181818181819
8750000,6,6.0,2184.207862,147,4006.0289829686544
595000,3,1.0,1316.0,177,452.1276595744681
215000,1,1.0,625.0,306,344.0
950000,1,1.0,621.0,273,1529.790660225443
314000,3,1.0,1572.0,165,199.74554707379136
395000,5,1.0,1000.0,284,395.0
